,Unnamed: 0,item name,Время чтения,Сложность,Количество просмотров,В закладках,Комментарии,Автор,Рейтинг автора,Время публикации,Savings_per_Views,norm_ReadingTime,hour
243,243,Дайте крудошлепа,7,2,84000.0,246,703,@dididididi,318.5,2023-05-05 08:02:00,0.0029285714285714284,0.07228915662650602,8
244,244,Включение и выключение сетевого оборудования кнопкой без фиксации,4,",",7900.0,40,45,@RV3EFE,34.1,2023-05-05 06:28:00,0.005063291139240506,0.03614457831325301,6
245,245,Парсинг и обработка данных с метеосайтов Яндекс.Погода и Метеоинфо (Гидрометцентр) при помощи pandas (Часть 1),3,2,2900.0,40,6,@JWMash,10.0,2023-05-05 00:51:00,0.013793103448275862,0.024096385542168676,0
246,246,Процессор ЭВМ ЕС-1020. Общая структура и система синхронизации,27,2,2900.0,18,7,@SIISII,161.3,2023-05-05 00:12:00,0.006206896551724138,0.3132530120481928,0
247,247,Что такое URL,8,",",6200.0,86,0,@Sivchenko_translate,58.4,2023-05-04 23:39:00,0.013870967741935483,0.08433734939759036,23
248,248,Асинхронные задачи с FastAPI и Celery,10,1,2700.0,55,3,@axelmaker,4.0,2023-05-04 23:15:00,0.020370370370370372,0.10843373493975904,23
249,249,Уроки компьютерного зрения на Python + OpenCV с самых азов. Часть 9. Мой пэт-проект,8,1,2700.0,60,0,@megabax,1.1,2023-05-04 22:18:00,0.022222222222222223,0.08433734939759036,22
250,250,Postgresso 4 (53),12,",",1600.0,4,0,@Igor_Le,19.0,2023-05-04 22:09:00,0.0025,0.13253012048192772,22
251,251,Symfony + Filebeat + Elasticsearch,3,",",1900.0,13,3,@MaxRokatansky,175.2,2023-05-04 21:02:00,0.006842105263157895,0.024096385542168676,21
252,252,Web Application Firewall,6,",",1300.0,11,0,@Andrey_Biryukov,65.0,2023-05-04 20:22:00,0.008461538461538461,0.060240963855421686,20
253,253,Восход и закат предприятия-родоначальника производства вычислительной техники в СССР,6,1,4800.0,23,1,@RSHB_INTECH,34.3,2023-05-04 18:55:00,0.004791666666666666,0.060240963855421686,18
254,254,Один из способов ускорения компиляции TypeScript,3,1,4400.0,37,21,@fransua,17.0,2023-05-04 18:44:00,0.00840909090909091,0.024096385542168676,18
255,255,Реализация авторизации на основе ролей в Spring Boot с помощью Keycloak,4,",",1400.0,33,0,@rikki_tikki,39.4,2023-05-04 18:39:00,0.023571428571428573,0.03614457831325301,18
256,256,Больше форков богу форков,6,1,2000.0,8,8,@Medeyko,3.5,2023-05-04 18:33:00,0.004,0.060240963855421686,18
257,257,Тестируем Sangfor WAF: удобное решение для стандартных задач,3,",",914.0,4,0,@avbykov,4.0,2023-05-04 18:26:00,0.00437636761487965,0.024096385542168676,18
258,258,Книга «Python для хакеров. Нетривиальные задачи и проекты»,12,",",12000.0,95,5,@ph_piter,86.1,2023-05-04 17:27:00,0.007916666666666667,0.13253012048192772,17
259,259,Как я написал удобную оболочку над электронным дневником,4,1,12000.0,57,17,@Mihail-Galkin,60.1,2023-05-04 17:17:00,0.00475,0.03614457831325301,17
260,260,SPI-NOR Flash на примере MX25R6435F,4,2,2100.0,17,9,@aabzel,48.9,2023-05-04 17:08:00,0.008095238095238095,0.03614457831325301,17
261,261,Архитектура microkernel в приложениях: особенности и преимущества,6,",",1800.0,21,1,@MaxRokatansky,175.2,2023-05-04 16:43:00,0.011666666666666667,0.060240963855421686,16
262,262,Hard skills для входа в тестирование бэка,7,1,6300.0,46,13,@visnuiast,6.0,2023-05-04 16:42:00,0.007301587301587302,0.07228915662650602,16
263,263,Простая чистая архитектура,4,1,14000.0,81,6,@kredis31,5.0,2023-05-04 16:03:00,0.0057857142857142855,0.03614457831325301,16
264,264,Проверенные решения пяти проблем автоматизации тестирования,12,",",2600.0,33,0,@rikki_tikki,39.4,2023-05-04 15:53:00,0.012692307692307692,0.13253012048192772,15
265,265,Зоопарк трансформеров: большой обзор моделей от BERT до Alpaca,59,3,3800.0,61,14,@murat_apishev,22.0,2023-05-04 15:11:00,0.016052631578947367,0.6987951807228916,15
266,266,Будущее индустрии ИИ стоит на бесплатной базе данных простого учителя школы,9,",",18000.0,57,12,@virtual_explorer,56.7,2023-05-04 15:04:00,0.0031666666666666666,0.0963855421686747,15
267,267,Спортивные часы Garmin: изучаем GarminOS и её ВМ MonkeyC,20,2,3500.0,14,4,@Cloud4Y,22.3,2023-05-04 14:02:00,0.004,0.2289156626506024,14
268,268,"PySpark для аналитика. Как правильно просить ресурсы и как понять, сколько нужно брать",9,",",4000.0,33,19,@aledovskiy,13.0,2023-05-04 13:36:00,0.00825,0.0963855421686747,13
269,269,Пусть наступит «МИР» (особенности платежной системы — способ не платить),5,1,35000.0,57,314,@OcMaRUS,50.7,2023-05-04 13:35:00,0.0016285714285714287,0.04819277108433735,13
270,270,FlexGen на практике: получится ли запустить тяжелую модель без мощной видеокарты,6,",",5200.0,38,3,@Firemoon,54.5,2023-05-04 13:12:00,0.007307692307692308,0.060240963855421686,13
271,271,Swift Power Assert,4,",",395.0,0,0,@SwiftBook,-2.0,2023-05-04 13:11:00,0.0,0.03614457831325301,13
272,272,"Откуда Карты знают, когда приедет автобус",7,",",31000.0,153,154,@ovchinkin,86.1,2023-05-04 13:00:00,0.0049354838709677416,0.07228915662650602,13
273,273,Из оператора в Data-инженеры: выверка данных через шаблоны Excel,12,1,1500.0,15,10,@SIGMA_team,4.0,2023-05-04 12:51:00,0.01,0.13253012048192772,12
274,274,Unity компонентно-ориентированный подход,3,2,1500.0,9,12,@OusIU,0.0,2023-05-04 12:43:00,0.006,0.024096385542168676,12
275,275,Принять и отдать: как мы совершенствовали Wi-Fi сигнал,7,",",3500.0,21,2,@evgeniitorchinskii,13.0,2023-05-04 12:38:00,0.006,0.07228915662650602,12
276,276,Укрощение имен. Как нейминг помогает оптимизировать код,12,",",6600.0,75,6,@myoffice_ru,69.9,2023-05-04 12:32:00,0.011363636363636364,0.13253012048192772,12
277,277,Математическая продлёнка. Математика кривого пропеллера,3,1,12000.0,79,21,@samsergey,114.2,2023-05-04 12:21:00,0.006583333333333333,0.024096385542168676,12
278,278,Веселые уроки WinCC OA. Драйвер S7Plus под Linux. Настройка в режиме offline,3,1,785.0,5,0,@akcount,3.0,2023-05-04 12:03:00,0.006369426751592357,0.024096385542168676,12
279,279,Поисковик Brave: окончательно рвём связи с Bing,3,1,2000.0,7,13,@BraveSoftware,3.6,2023-05-04 12:01:00,0.0035,0.024096385542168676,12
280,280,"Часы электронные самодельные, песочные и нормальные",8,2,3500.0,32,2,@Lunathecat,92.6,2023-05-04 12:00:00,0.009142857142857144,0.08433734939759036,12
281,281,"Бесплатный сервис с данными о ценах, аренде и доходности на недвижимость по всему миру",4,1,2800.0,35,2,@QuantumCross,7.5,2023-05-04 11:55:00,0.0125,0.03614457831325301,11
282,282,"Хакатон ЕВРАЗа 2.0: 40 часов металлургии, веб-разработки и аналитики",7,1,1200.0,8,3,@EVRAZ,5.0,2023-05-04 11:55:00,0.006666666666666667,0.07228915662650602,11
283,283,Долгоиграющие приложения на PHP,15,2,9500.0,111,16,@el_kex,51.0,2023-05-04 11:50:00,0.01168421052631579,0.1686746987951807,11
284,284,"Из дальнобойщика — в IT: приключение, где нужно быстро учиться и работать без выходных",7,1,9100.0,29,17,@mustafos,21.0,2023-05-04 11:45:00,0.003186813186813187,0.07228915662650602,11
285,285,Вокруг формулы Пика,2,2,2100.0,19,10,@alexlyk314,7.0,2023-05-04 11:36:00,0.009047619047619047,0.012048192771084338,11
286,286,"Эй, разработчики Flutter, я слышал, что вам нравятся модификаторы классов",4,1,1200.0,5,1,@PackRuble,7.5,2023-05-04 11:31:00,0.004166666666666667,0.03614457831325301,11
287,287,LangChain для бывалых: память и агенты. часть 1,5,2,1100.0,13,2,@Mark_K,24.0,2023-05-04 11:30:00,0.011818181818181818,0.04819277108433735,11
288,288,Декапсуляция микросхем в домашних условиях,4,2,5600.0,38,14,@igor27065,25.0,2023-05-04 11:01:00,0.0067857142857142855,0.03614457831325301,11
289,289,Бустим топ: внедрение ML в ранжирование каталога,9,2,1500.0,20,2,@Karablinov,27.0,2023-05-04 10:33:00,0.013333333333333334,0.0963855421686747,10
290,290,"Мы профессионально занимаемся социнжинирингом, и нам за это платят",8,",",3800.0,29,4,@T1_Security,19.0,2023-05-04 10:01:00,0.007631578947368421,0.08433734939759036,10
291,291,Электроника в стиле Пиноккио: деревянный электрохимический транзистор,13,",",2100.0,11,4,@Dmytro_Kikot,146.0,2023-05-04 10:00:00,0.005238095238095238,0.14457831325301204,10
292,292,Как человек посередине помогает крутить прокси для парсинга,8,1,1800.0,22,3,@gabmars,5.0,2023-05-04 09:24:00,0.012222222222222223,0.08433734939759036,9
293,293,Анализ подбора гиперпараметров при обучении нейронной сети прямого распространения — FNN (на примере MNIST). Часть 2,4,",",517.0,15,2,@AnatolyBelov,-0.5,2023-05-04 09:03:00,0.029013539651837523,0.03614457831325301,9
294,294,Крепкое резюме тестировщика: советы для начинающих и не только,7,",",2600.0,30,0,@AlexDronin,0.0,2023-05-04 09:00:00,0.011538461538461539,0.07228915662650602,9
295,295,Kotlin Coding Conventions,17,1,3800.0,41,5,@xpendence,1.7,2023-05-04 07:27:00,0.010789473684210526,0.1927710843373494,7
296,296,Невидимое пианино! Или “по следам Oculus Quest”,9,2,2300.0,5,4,@Kekovsky,23.5,2023-05-04 06:34:00,0.002173913043478261,0.0963855421686747,6
297,297,Arc — революционный браузер нового поколения,10,1,14000.0,19,69,@Usetech,-14.0,2023-05-04 06:32:00,0.0013571428571428571,0.10843373493975904,6
298,298,Как и зачем MicroStrategy покупает Bitcoin,6,",",1800.0,5,12,@SpaceFinance,-4.5,2023-05-04 05:23:00,0.002777777777777778,0.060240963855421686,5
299,299,Пишем свой хук для отслеживания изменений в LocalStorage,2,1,6500.0,42,5,@HaPi-2999,4.0,2023-05-04 00:05:00,0.006461538461538461,0.012048192771084338,0
300,300,berry-lang — новый язык для BEAM со статической типизацией,4,2,1500.0,1,14,@abetkin,-1.0,2023-05-03 22:24:00,0.0006666666666666666,0.03614457831325301,22
301,301,Процессоры ЕС ЭВМ. Конструктив,7,1,5800.0,23,56,@SIISII,161.3,2023-05-03 21:58:00,0.003965517241379311,0.07228915662650602,21
302,302,Telegram Bot — ваш новый помощник,4,1,3800.0,24,1,@shushpanov_official,-19.0,2023-05-03 21:24:00,0.00631578947368421,0.03614457831325301,21
303,303,Асинхронность как основной подход к разработке высоконагруженных приложений,8,1,8000.0,67,4,@luculliano,7.0,2023-05-03 21:02:00,0.008375,0.08433734939759036,21
304,304,Алгоритмы программы для дозиметра на счетчике Гейгера,17,1,3100.0,46,28,@AndreySkv,20.0,2023-05-03 20:45:00,0.014838709677419355,0.1927710843373494,20
305,305,Как прошел IT’s Tinkoff Solution Cup,15,",",2600.0,14,15,@yuliatsareva,25.0,2023-05-03 19:51:00,0.005384615384615384,0.1686746987951807,19
306,306,Простая схема на оптроне создает «ламповый» звук,2,1,14000.0,72,92,@Prohard,23.3,2023-05-03 19:02:00,0.005142857142857143,0.012048192771084338,19
307,307,Самые опасные драйверы для Windows,10,",",5700.0,33,1,@GlobalSign_admin,32.0,2023-05-03 18:30:00,0.005789473684210527,0.10843373493975904,18
308,308,Лучшие ИИ-инструменты для аннотирования видео в 2023 году,4,",",2000.0,35,1,@kucev,1.2,2023-05-03 17:42:00,0.0175,0.03614457831325301,17
309,309,eBPF и его возможности,10,",",3200.0,37,1,@Albert_Wesker,221.4,2023-05-03 17:01:00,0.0115625,0.10843373493975904,17
310,310,Качественно — значит долго? Как быстро создавать жизнеспособные MVP,3,",",2400.0,23,2,@mixkorshun,15.0,2023-05-03 16:58:00,0.009583333333333333,0.024096385542168676,16
311,311,Лучшие Golang-фреймворки в 2023 году,3,",",5000.0,30,11,@Asiiat_Gadaborsheva,18.1,2023-05-03 16:48:00,0.006,0.024096385542168676,16
312,312,Введение в Материалы,5,",",1100.0,17,0,@MaxRokatansky,175.2,2023-05-03 16:47:00,0.015454545454545455,0.04819277108433735,16
313,313,Я хотел улучшить React,8,2,7500.0,35,34,@isumix,3.0,2023-05-03 16:41:00,0.004666666666666667,0.08433734939759036,16
314,314,Как общаться с ChatGPT с помощью голосовых сообщений в Telegram,9,2,9500.0,84,9,@vladilenm,41.0,2023-05-03 16:35:00,0.008842105263157894,0.0963855421686747,16
315,315,Шпаргалка: fixture в pytest,15,2,3800.0,50,2,@KeyMan,17.9,2023-05-03 16:04:00,0.013157894736842105,0.1686746987951807,16
316,316,"Эй, Google, это твой баг",8,1,7100.0,31,20,@ru_vds,657.1,2023-05-03 16:00:00,0.0043661971830985915,0.08433734939759036,16
317,317,"IF: нейросеть, которая умеет в руки и текст",2,",",2500.0,15,9,@0x7o,5.0,2023-05-03 15:45:00,0.006,0.012048192771084338,15
318,318,Применение методов CRISP-DM для анализа Big Sales Data,5,1,450.0,2,0,@roman_salesai,15.0,2023-05-03 15:13:00,0.0044444444444444444,0.04819277108433735,15
319,319,CoreData для базовых задач одним методом,10,2,1300.0,14,3,@lolsmh,5.0,2023-05-03 14:49:00,0.010769230769230769,0.10843373493975904,14
320,320,Ручное тестирование в медицине на примере SDC протокола,6,1,622.0,5,0,@mavil,1.0,2023-05-03 14:22:00,0.008038585209003215,0.060240963855421686,14
321,321,Dyson Air Purifier. Реверс ИК протокола. Интеграция в Home Assistant (продолжение),14,2,2100.0,16,3,@Alex_Trusk,2.0,2023-05-03 14:02:00,0.007619047619047619,0.1566265060240964,14
322,322,yield return,7,",",5600.0,51,8,@deniaa,47.0,2023-05-03 13:51:00,0.009107142857142857,0.07228915662650602,13
323,323,"Чем раньше, тем лучше: сдвигаем тестирование в начало разработки в среде Kubernetes",5,",",2500.0,26,0,@NigrumKross,9.2,2023-05-03 12:38:00,0.0104,0.04819277108433735,12
324,324,Особенности работы с русской кодировкой при загрузке файлов через aiohttp,2,2,1700.0,13,5,@SeekerOfTruth,18.0,2023-05-03 12:29:00,0.007647058823529412,0.012048192771084338,12
325,325,Selenoid: Запускаем Appium UI-тесты на iOS. Часть 2,6,2,869.0,9,0,@GRG9,10.0,2023-05-03 11:31:00,0.010356731875719217,0.060240963855421686,11
326,326,История о жрущем память API-сервере Kubernetes,9,2,2300.0,29,5,@chako8,22.1,2023-05-03 11:16:00,0.012608695652173913,0.0963855421686747,11
327,327,Простенькие заметки на $mol,5,1,2500.0,9,4,@koplenov,4.0,2023-05-03 11:12:00,0.0036,0.04819277108433735,11
328,328,Автоматизация публикации Android приложений в Google Play и Huawei AppGallery — инструкция от А до Я,19,3,2700.0,50,10,@rtsisyk,17.0,2023-05-03 11:02:00,0.018518518518518517,0.21686746987951808,11
329,329,Интерактивные книги 2: на этот раз про геймдизайн и алгоритмы,2,2,7200.0,145,19,@Maslukhin,123.2,2023-05-03 11:01:00,0.02013888888888889,0.012048192771084338,11
330,330,"В помощь разработчикам гаджетов. «USB-Разрыватель» — что это, зачем и для чего?",11,",",4300.0,20,21,@RaccoonSecurity,16.0,2023-05-03 11:00:00,0.004651162790697674,0.12048192771084337,11
331,331,Извлечение открытых данных сайта zakupki.gov.ru с помощью СУБД BaseX,8,",",1600.0,18,0,@NewTechAudit,15.0,2023-05-03 10:46:00,0.01125,0.08433734939759036,10
332,332,Как ускорить бинарный поиск,7,1,7300.0,71,35,@Scraponist,4.0,2023-05-03 10:13:00,0.009726027397260273,0.07228915662650602,10
333,333,Хронология Standoff: как из команды защитников мы выросли в судей кибербитвы,6,1,818.0,4,1,@malae,7.0,2023-05-03 09:52:00,0.004889975550122249,0.060240963855421686,9
334,334,"Как я убеждал блондинку Машу перейти с программирования RTOS в проектирование железа (а также Coq, Lisp и Haskell)",5,",",18000.0,49,32,@YuriPanchul,17.6,2023-05-03 09:49:00,0.0027222222222222222,0.04819277108433735,9
335,335,Как мы боролись с багами при подготовке релиза 1.43 K8s-платформы Deckhouse и какие выводы из этого сделали,6,",",1300.0,8,0,@Zhbert,29.3,2023-05-03 09:31:00,0.006153846153846154,0.060240963855421686,9
336,336,Как я перестал беспокоиться и полюбил абсолютную активацию,11,2,23000.0,76,17,@berng,26.5,2023-05-03 08:25:00,0.0033043478260869567,0.12048192771084337,8
337,337,О спинорах человеческим языком,7,3,6700.0,60,14,@flx0,23.2,2023-05-03 01:02:00,0.008955223880597015,0.07228915662650602,1
338,338,Мониторинг: измеряем потери пакетов с помощью C++,14,1,3900.0,28,2,@Lord3D,3.0,2023-05-03 00:16:00,0.0071794871794871795,0.1566265060240964,0
339,339,PostgreSQL 16: Часть 5 или Коммитфест 2023-03,27,",",3300.0,20,0,@pluzanov,15.0,2023-05-03 00:01:00,0.006060606060606061,0.3132530120481928,0
340,340,"Гипотеза Коллатца, часть 2",4,1,3100.0,6,102,@Martynov_M,-24.2,2023-05-02 23:58:00,0.001935483870967742,0.03614457831325301,23
341,341,Модель нелинейной аппроксимации ретеншена,31,2,2000.0,22,2,@dmitrybaltin,6.0,2023-05-02 18:40:00,0.011,0.3614457831325301,18
342,342,"Личный опыт ISTQB сертификации для тестировщиков — проверить свой уровень, усовершенствовать навыки",9,2,2300.0,20,0,@ProQualityCommunity,2.6,2023-05-02 17:49:00,0.008695652173913044,0.0963855421686747,17
343,343,Утечка данных сайтов BI.ZONE: результаты расследования и процесс реагирования,12,2,24000.0,45,21,@BiZone_team,59.0,2023-05-02 17:47:00,0.001875,0.13253012048192772,17
344,344,Книга «Компьютерные сети. 6-е изд»,12,",",8400.0,62,23,@ph_piter,86.1,2023-05-02 17:32:00,0.007380952380952381,0.13253012048192772,17
345,345,Безопасность в базах данных,10,",",2900.0,52,2,@rikki_tikki,39.4,2023-05-02 17:18:00,0.01793103448275862,0.10843373493975904,17
346,346,localStorage для авторизации,5,2,4900.0,62,8,@robzarel,24.0,2023-05-02 16:40:00,0.012653061224489797,0.04819277108433735,16
347,347,C# и .NET: Blazor,5,",",2600.0,26,8,@MaxRokatansky,175.2,2023-05-02 16:32:00,0.01,0.04819277108433735,16
348,348,Искусственный интеллект и странные аттракторы,10,2,8200.0,30,19,@belch84,22.3,2023-05-02 16:27:00,0.003658536585365854,0.10843373493975904,16
349,349,Collage_n — редактор для создания коллажей и спрайтов,1,1,1500.0,17,0,@Sergey123Ovechkin,3.0,2023-05-02 16:02:00,0.011333333333333334,0.0,16
350,350,Метрики оценки для рекомендательных систем,5,",",892.0,6,0,@MaxRokatansky,175.2,2023-05-02 15:58:00,0.006726457399103139,0.04819277108433735,15
351,351,Использование Google Таблиц в исследованиях OSINT,3,",",2000.0,18,3,@TomHunter,3.0,2023-05-02 15:57:00,0.009,0.024096385542168676,15
352,352,Как мы организовали Data Warehouse в MANGO OFFICE,5,",",1000.0,7,1,@MangoOffice,3.0,2023-05-02 14:59:00,0.007,0.04819277108433735,14
353,353,Ускоряем приложение: никаких фреймворков — только математика,9,2,12000.0,103,9,@BaharCediri,29.0,2023-05-02 14:46:00,0.008583333333333333,0.0963855421686747,14
354,354,«Хакер»: самые важные новости мира безопасности за апрель,26,",",3300.0,13,1,@pand,-4.0,2023-05-02 13:45:00,0.00393939393939394,0.30120481927710846,13
355,355,Как прошёл чемпионат RuCTF глазами победителей,7,1,3600.0,15,3,@lperovskaya,17.0,2023-05-02 13:32:00,0.004166666666666667,0.07228915662650602,13
356,356,"Как за 1,5 месяца создать сайт с нуля и подготовить его к нагрузкам ~230 000 пользователей в день? Кейс Финзачета",7,",",3900.0,28,13,@ahmpro,-2.1,2023-05-02 13:01:00,0.0071794871794871795,0.07228915662650602,13
357,357,Открытый код в ИТМО,7,",",1400.0,13,0,@itmo,0.0,2023-05-02 12:10:00,0.009285714285714286,0.07228915662650602,12
358,358,Загрузчик файлов для React,13,3,2600.0,60,0,@robzarel,24.0,2023-05-02 12:05:00,0.023076923076923078,0.14457831325301204,12
359,359,Чистый код. Часть 2,14,",",5300.0,82,9,@lexus1990,31.1,2023-05-02 12:00:00,0.015471698113207547,0.1566265060240964,12
360,360,Scala Digest. Выпуск 4,7,1,924.0,6,0,@Ivoya,11.0,2023-05-02 11:48:00,0.006493506493506494,0.07228915662650602,11
361,361,Производительность Android приложений Kotlin в сравнении с С++ или цена управления памятью,9,",",13000.0,55,104,@3036662,30.1,2023-05-02 11:16:00,0.004230769230769231,0.0963855421686747,11
362,362,Как и для чего мы проводим Альфа-тестирование КОМПАС-3D?,6,",",773.0,4,1,@kompas_3d,4.1,2023-05-02 11:11:00,0.00517464424320828,0.060240963855421686,11
363,363,Вычислительная сложность некоторых игр и головоломок,11,",",5400.0,47,15,@jasiejames,31.1,2023-05-02 11:03:00,0.008703703703703703,0.12048192771084337,11
364,364,Starting Electronics: руководство по веб-серверам на Arduino. Часть 10. Введение в CSS,4,2,1600.0,25,0,@smart_alex,29.4,2023-05-02 11:01:00,0.015625,0.03614457831325301,11
365,365,Крошечный рецепт приготовления react-dnd,3,1,1100.0,23,0,@robzarel,24.0,2023-05-02 11:01:00,0.02090909090909091,0.024096385542168676,11
366,366,Шаг за шагом: развёртываем Kafka Connect с помощью оператора Strimzi в Kubernetes,9,",",931.0,13,2,@alitenicole,12.0,2023-05-02 10:30:00,0.013963480128893663,0.0963855421686747,10
367,367,Мигрируем с Qlik: как создать надежное хранилище для ваших данных,6,1,1300.0,4,3,@dmntr,6.0,2023-05-02 10:29:00,0.003076923076923077,0.060240963855421686,10
368,368,Security Week 2318: новая аппаратная уязвимость в процессорах Intel,4,",",2600.0,10,1,@Kaspersky_Lab,41.5,2023-05-02 10:18:00,0.0038461538461538464,0.03614457831325301,10
369,369,Веселые уроки WinCC OA. Использование OPC-серверов,3,1,711.0,8,0,@akcount,3.0,2023-05-02 09:47:00,0.011251758087201125,0.024096385542168676,9
370,370,Красивый двоичный поиск без ветвления,6,2,12000.0,88,7,@PatientZero,217.2,2023-05-02 09:41:00,0.007333333333333333,0.060240963855421686,9
371,371,"FTM, который написал MUSIC: точное определение местоположения Wi-Fi-устройств в условиях многолучевости. Часть 1/3",14,",",2100.0,26,4,@a1exjob,2.4,2023-05-02 01:00:00,0.012380952380952381,0.1566265060240964,1
372,372,Open source конструктор CRM/ERP или база данных для непрограммистов,7,1,10000.0,86,17,@AlexeyPolunin,21.0,2023-05-02 00:05:00,0.0086,0.07228915662650602,0
373,373,Валидация форм без зависимостей,13,2,3200.0,52,8,@robzarel,24.0,2023-05-01 23:04:00,0.01625,0.14457831325301204,23
374,374,React Native vs нативные языки программирования: что выбрать бизнесу?,5,1,5100.0,16,10,@SLMax_by,-1.0,2023-05-01 21:02:00,0.003137254901960784,0.04819277108433735,21
375,375,Используем модель нейросети на C++,4,1,6300.0,69,8,@fruitourist,21.2,2023-05-01 19:58:00,0.010952380952380953,0.03614457831325301,19
376,376,Как мы заставляли нейронку пялиться на повреждения стального троса. Часть 1,5,2,11000.0,45,49,@AlterEgoAI,19.0,2023-05-01 18:58:00,0.004090909090909091,0.04819277108433735,18
377,377,Язык Umka 1.0 и игровой фреймворк Tophat,4,",",5400.0,24,8,@Tereshkov,20.1,2023-05-01 16:49:00,0.0044444444444444444,0.03614457831325301,16
378,378,Алгоритмы балансировки нагрузок,8,2,14000.0,318,16,@ru_vds,657.1,2023-05-01 16:25:00,0.022714285714285715,0.08433734939759036,16
379,379,[Паттерны API] Асинхронность и управление временем,7,3,5900.0,60,0,@forgotten,22.0,2023-05-01 15:29:00,0.010169491525423728,0.07228915662650602,15
380,380,Оживляем веб-камеру 1999 года,8,",",22000.0,65,22,@Sivchenko_translate,58.4,2023-05-01 15:15:00,0.0029545454545454545,0.08433734939759036,15
381,381,Как я разрабатывал кастомный Segmented Control на SwiftUI,6,2,1800.0,19,0,@TyomaZago,12.0,2023-05-01 14:51:00,0.010555555555555556,0.060240963855421686,14
382,382,Проверка GIL в python,2,1,4600.0,18,14,@LaRos89098,-5.0,2023-05-01 14:51:00,0.00391304347826087,0.012048192771084338,14
383,383,Мозаичное вдохновение (рассказ о создании двух простеньких игр),5,1,1900.0,9,4,@Zen_Kong,3.0,2023-05-01 13:59:00,0.004736842105263158,0.04819277108433735,13
384,384,"Можно ли использовать в коммерческих целях изображения, созданные нейросетью?",7,2,5000.0,29,85,@Onarh,47.2,2023-05-01 13:27:00,0.0058,0.07228915662650602,13
385,385,"Женщина-математик с фамилией, известной любому жителю СССР. Была в тени своего брата, но добилась успехов и пережила всё",4,1,22000.0,35,12,@andreybrylb,113.0,2023-05-01 12:46:00,0.001590909090909091,0.03614457831325301,12
386,386,"Интересные трюки HTML, CSS и JS",8,2,12000.0,145,17,@alizar,259.1,2023-05-01 12:00:00,0.012083333333333333,0.08433734939759036,12
387,387,Фруктография: взгляд изнутри,2,1,3000.0,12,14,@SmartEngines,46.7,2023-05-01 11:29:00,0.004,0.012048192771084338,11
388,388,Как я сделал сайт для риелтора (маклера),5,1,4200.0,8,24,@nikoniki,-4.0,2023-05-01 11:13:00,0.0019047619047619048,0.04819277108433735,11
389,389,"Из небытия 1987 года. Оживляем индустриальный программатор SIEMENS SIMATIC S5 PG685, ставим CP/M-86 и MS-DOS 2.11",5,1,7100.0,26,31,@MechNIX,67.5,2023-05-01 11:01:00,0.0036619718309859155,0.04819277108433735,11
390,390,"Недельный геймдев: #119 — 30 апреля, 2023",5,1,2500.0,8,1,@Suvitruf,52.3,2023-05-01 10:45:00,0.0032,0.04819277108433735,10
391,391,"Как, почему и когда следует использовать одно-табличный дизайн в DynamoDB",12,",",2000.0,17,0,@artfultom,3.2,2023-05-01 09:06:00,0.0085,0.13253012048192772,9
392,392,Мобильная разработка за неделю #486 (24 — 30 апреля),4,",",2000.0,7,0,@ProductivityInside,37.6,2023-05-01 07:07:00,0.0035,0.03614457831325301,7
393,393,Домашний NAS сервер,6,",",43000.0,206,90,@timflooke,115.1,2023-05-01 01:07:00,0.004790697674418604,0.060240963855421686,1
394,394,Создание DSL на Python с библиотекой textx,6,1,2600.0,31,1,@dmitriizolotov,71.0,2023-05-01 00:51:00,0.011923076923076923,0.060240963855421686,0
395,395,Erlang больше не в моде. berry-lang — новый язык для BEAM со статической типизацией,5,2,1900.0,3,10,@abetkin,-1.0,2023-05-01 00:40:00,0.0015789473684210526,0.04819277108433735,0
396,396,Оптимизация вставки в R-дереве в рамках Unity проекта,11,2,2200.0,15,4,@Alabota,8.0,2023-05-01 00:10:00,0.006818181818181818,0.12048192771084337,0
397,397,Дайджест новостей из мира программирования #2,6,1,3000.0,8,0,@daniilshat,199.3,2023-04-30 23:35:00,0.0026666666666666666,0.060240963855421686,23
398,398,Что не так с OpenAPI?,7,3,27000.0,100,94,@kmalyshev,47.3,2023-04-30 21:26:00,0.003703703703703704,0.07228915662650602,21
399,399,Мое Знакомство с УИИ или Путешествие в Параллельную Реальность,10,1,6700.0,24,21,@tech_priestess,56.1,2023-04-30 20:05:00,0.003582089552238806,0.10843373493975904,20
400,400,Метод персон на примере проектирования ПО для аренды шашлычных беседок,15,2,2500.0,17,0,@sepetov,2.5,2023-04-30 20:01:00,0.0068,0.1686746987951807,20
401,401,Github pages для pet проектов,8,1,6500.0,98,4,@robzarel,24.0,2023-04-30 19:01:00,0.015076923076923076,0.08433734939759036,19
402,402,Made at Intel. В поисках мессии,9,",",17000.0,31,30,@vvvphoenix,595.7,2023-04-30 18:56:00,0.0018235294117647058,0.0963855421686747,18
403,403,Исследование возможностей оптимизации ПО на примере хеш-таблицы,10,2,2900.0,16,7,@TNVC,1.0,2023-04-30 18:34:00,0.005517241379310344,0.10843373493975904,18
404,404,Переключение цветовых тем в React приложении,8,2,3900.0,51,3,@robzarel,24.0,2023-04-30 17:55:00,0.013076923076923076,0.08433734939759036,17
